what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437409406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437413504
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1271437423630
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437442980
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437445630
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.update",1271437452624
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437452973
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1271437466425
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1271437466466
started,bundle,org.eclipse.equinox.p2.publisher,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.publisher",1271437466558
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1271437466591
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1271437466948
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437467080
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437470262
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.101.R35x_v20090806,"org.eclipse.equinox.p2.touchpoint.natives",1271437476091
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437486355
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437486679
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437575489
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437575793
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437803263
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437805303
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1271437810708
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1271437810709
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1271437810709
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1271437810709
